id	title	context	triplets
1		Digital coaching platform CoachHub has secured new financing of approx. €25 million led by new investor Draper Esprit, alongside existing investors HV Capital, Partech, Speedinvest, signals Venture Capital and RTP Global. This latest round brings the total funds raised to over €40 million following the company’s +€16 million funding round in late 2019. CoachHub, which uses AI to match individuals to business coaches, has seen significant growth since it wasfounded in 2018 by brothers Yannis and Matti Niebelschuetz.In just two years the team has created a global network of more than 1000 certified coaches across six continents, making CoachHub the fastest growing European company in this sector. CoachHub will use the new funds to accelerate its growth in the digital coaching market, with plans to add 1000 coaches to its network and make 120 new hires across Europe, Asia and the US, which would bring the team to 300.	<triplet> CoachHub <sub> €25 million <obj> RECEIVES <triplet> RTP Global <sub> €25 million <obj> INVESTS <triplet> signals Venture Capital <sub> €25 million <obj> INVESTS <triplet> Speedinvest <sub> €25 million <obj> INVESTS <triplet> Partech <sub> €25 million <obj> INVESTS <triplet> HV Capital <sub> €25 million <obj> INVESTS <triplet> Draper Esprit <sub> €25 million <obj> INVESTS <triplet> CoachHub <sub> €25 million <obj> RECEIVES <triplet> CoachHub <sub> €25 million <obj> RECEIVES <triplet> CoachHub <sub> €25 million <obj> RECEIVES
10		Finnish independent media startup Kieku Labs has taken its total funding to €700K on its mission to bring talk audio with radio-like simplicity back as everyday media content. The majority of the funding has been raised from Swedish serial entrepreneurs Gert Nordin and Erik Fischbeck, backed by Tekes – the Finnish Funding Agency for Innovation. The Helsinki-based startup was founded in 2015. The new service that Kieku offers will help make your listening experience more interesting and meaningful. The goal of the founders is to make it easy to find new influencers and experts in your personal areas of interest. Kieku, which was recently ranked as the hottest startup in August in Finland by Startup100, is available worldwide on kieku.com, and as an iOS app currently in most of the European countries and the US.	<triplet> Kieku <sub> €700K <obj> RECEIVES <triplet> Kieku <sub> €700K <obj> RECEIVES <triplet> Tekes <sub> €700K <obj> INVESTS <triplet> Erik Fischbeck <sub> €700K <obj> INVESTS <triplet> Gert Nordin <sub> €700K <obj> INVESTS <triplet> Kieku Labs <sub> €700K <obj> RECEIVES
100		The Paris based social games publisher Pretty Simple has recently raised €2.5 million from Idinvest Partners. Like Zynga or Wooga, the young company develops its games for Facebook and was founded by Bastien Cazenave and his partners. Pretty Simple’s first released title is called My Shops. Launched in December 2010, My Shops reached over 1 million users after just 9 weeks. With the fresh capital, Pretty simple aims to produce 2-4 new games each year. The Pretty Simple team is composed of 15 social gaming professionals. Their goal right now is it to provide players with unique game experiences. Last year, Idinvest has already made an initial investment into Pretty Simple (€300,000). The French investor is also invested in the social games publisher Kobojo – which is kind of a competitor for Pretty Simple.	<triplet> Pretty Simple <sub> €2.5 million <obj> RECEIVES <triplet> Idinvest Partners <sub> €2.5 million <obj> INVESTS <triplet> Idinvest <sub> €300,000 <obj> INVESTS <triplet> Pretty Simple <sub> €300,000 <obj> RECEIVES
1002		Oxwash, a green tech startup from Oxford, has just raised €590k in equity investment and secured 320 new investors through crowdfunding platform Crowdcube, in only 15 hours. This follows a capital increase of €2.46 million in June 2021 by the fast-growing company. Investors such as Biz Stone (Twitter co-founder) and Future Positive Capital (behind Pinterest and Beyond Meat), are backing the sustainable on-demand laundry service offered by Oxwash. The startup, founded in 2018 byex-NASA scientist and Forbes Europe’s 30 under 30 alumni, Dr Kyle Grant and Oxford engineer Tom de Wilton, has the vision to achieve net-zero carbon emissions for the whole laundry process – from collection, through to washing, back to delivery. Oxwash CEO, Dr Kyle Grant, said:“Our goal was to build a wide network of shareholders who care about our purpose as much as we do and can be true ambassadors for the brand, which is why we capped the investment level at £5,000 per person. To witness £100k pledged in just three hours, and be able to close the round in fifteen, we are over the moon with the outcome and level of support. We know being just another laundry app will not cut it. Developing a model that is hyper local, carbon neutral and tech enabled – that reverses the sector’s adverse impact on the planet rather than adding to it is absolutely critical”.	<triplet> Oxwash <sub> €590k <obj> RECEIVES <triplet> crowdfunding <sub> €590k <obj> INVESTS
1005		Today Deep Render, London’s pioneering machine learning startup, has raised €1.8 million in a round led by Pentech, and with participation from Speedinvest, to fund further development of its revolutionary image compression technology. Instead of building on the current, decades-old software, Deep Render’s proprietary tech has reinvented the entire process, from scratch, in order to mimic theneural processes of the human eye. This reduces the file size of images by 10x compared to the best industry standards, while maintaining the same level of visual quality. Having spun out of Imperial College London’s leading robotics lab in 2017, Deep Render’s founders Arsalan Zafar and Chri Besenbruch believe their technology has the power to transform how everyday people consume data, as well as revolutionise entire industries and organisations across every sector.	<triplet> Deep Render <sub> €1.8 million <obj> RECEIVES <triplet> Pentech <sub> €1.8 million <obj> INVESTS <triplet> Speedinvest <sub> €1.8 million <obj> INVESTS
1009		London-based market intelligence and information discovery platform Signal today announced a seed funding round of $1.8m from top tier investors. The funding, led by Frontline Ventures, will be used to grow Signal’s team of data scientists, and further develop the platform ahead of a global launch. Developed in partnership with world-renowned academics in text analytics, natural language processing and machine learning, Signal processes and analyses text by scouring over 75,000 news outlets, 3.5 million blogs and 100 social networks. Its technology enables any individual or business to access, analyse and monitor real-time information. Signal users receive highly-tailored feeds on the companies, people, topics and trends that are important to them. Signal is challenging large legacy solutions in the media monitoring market – the majority of which came to prominence in the Nineties – including the likes of Precise and Cision.	<triplet> $1.8m <sub> seed funding round <obj> IN ROUND <triplet> Signal <sub> $1.8m <obj> RECEIVES <triplet> Frontline Ventures <sub> $1.8m <obj> INVESTS
101		Munich-based transportation startup KONUX offers IoT industrial solutions for the rail industry. It combines smart sensors and AI-based analytics to make trains more punctual, while improving network capacity through predictive maintenance planning and the optimisation of railway utilisation. Founded in 2014, KONUX was named one of the most innovative scale-ups worldwide by the World Economic Forum. The startup has just raised €11.5 million in an extension of its Series B round, bringing the total amount raised in the round since last year to €29 million, and the total raised to date by the startup to €44 million. The Series B round was backed by existing investors New Enterprise Associates (NEA), Upbeat Ventures, MIG AG, and new investor Alibaba Group. With the new funding and backing from Alibaba Group, KONUX plans to expand internationally, especially in China.	<triplet> Upbeat Ventures <sub> €11.5 million <obj> INVESTS <triplet> KONUX <sub> €11.5 million <obj> RECEIVES <triplet> New Enterprise Associates <sub> €11.5 million <obj> INVESTS <triplet> Alibaba Group <sub> €11.5 million <obj> INVESTS <triplet> MIG AG <sub> €11.5 million <obj> INVESTS
1016		Berlin-based proptech startup Habyt has today announced closing both its third acquisition of 2021, and a Series B round of €20 million. Founded in 2017, Habyt is one of the leading European co-living providers, operating in 6 countries (Germany, the Netherlands, Spain, Italy and Portugal), with 5000 units across 15 cities. Habyt’s mission is to build the best housing experience via great design, community and simplicity, everywhere in the world. Habyt’s product consists of fully furnished, fully serviced private and shared accommodation enabled via a fully digital experience. Now Habt has acquired Frankfurt-based homefully, a co-living solution that matches international professionals. Founded in 2016, the company provides and operates co-living spaces in prime locations across all 7 cities in Germany and Switzerland. The company caters towards professionals, digital nomads and cosmopolitans who seek convenience, flexibility and community in their living spaces and offers their customers a fully digitalized customer journey, Today, homefully has more than 1,000 units under management and 1.000+ in the pipeline.	<triplet> €20 million <sub> Series B <obj> IN ROUND <triplet> Habyt <sub> €20 million <obj> RECEIVES <triplet> Habyt <sub> homefully <obj> ACQUIRES
102		ReSpo.Vision is a European deeptech startup that aims to disrupt sport and bookmaking industries by using computer vision to capture detailed 3D tracking data from sporting events, and then turn those into practical insights. The team has now closed a €1 million seed round led by ffVC Tech & Gaming, with participation from RKKVC. Thanks to this investment, the company will be able to expand its sports coverage from soccer to other major sports. Warsaw-based ReSpo.Vision has developed a unique 3D tracking data capture technology with extremely high accuracy: its system can screen any TV broadcast, even a single camera one, and capture a continuous stream of 3D coordinates of 20 body sections of each player and the ball. Then it uses this data to create player and game analytics for sport clubs and to calculate game events probabilities, create visual game trackers and provide detailed statistics for bookmakers. The solution proposed by ReSpo.Vision is already stirring great interest among the largest football clubs in Europe. The technology has been tested, among others, by Champions League clubs, which plan to use it more widely in training and selection processes.	<triplet> ffVC Tech & Gaming <sub> €1 million <obj> INVESTS <triplet> RKKVC <sub> €1 million <obj> INVESTS <triplet> ReSpo.Vision <sub> €1 million <obj> RECEIVES
1020		Today Questo, the platform for city exploration games, raises€300K to help travellers and locals explore destinations by going on tours in game form, called quests. The round was led by Sparking Capital with participation from Early Game Ventures, helping Questo expand into more cities through local storytellers and tour operators. With Questo, travellers and locals explore destinations by following clues and solving challenges in order to discover new places and stories. Today, the platform is available in 70 cities worldwide, and it is growing rapidly. “We are transforming city exploration into a fun game that is safe to play on your own. For this, we partner with tour operators and storytellers from all around the world, who are creating their own games. Our model is so scalable that we could launch Questo in every city of the world. And we will probably do that,” says Alex Govoreanu, co-founder and CEO.	
